Student,Course,Total Match Weight,Notes,Student Rank,Student Rank Score,Matches Score (Student),Professor Rank,Professor Rank Score,Match Score (Course)
Student #25,461,19.06,"previous, advisor-advisee",Excellent,0.26,2.92,Excellent,2.80,2.80
Student #67,551,18.65,previous,Excellent,0.18,2.90,Excellent,5.47,3.82
Student #27,318,16.79,previous,Excellent,0.11,3.02,Excellent,3.69,3.01
Student #49,340,16.08,advisor-advisee,Excellent,0.28,2.31,Excellent,2.80,2.18
Student #20,324,16.01,"previous, favorite",Excellent,0.22,2.72,Excellent,2.59,1.79
Student #46,375,15.85,previous,Good,0.00,2.28,Excellent,2.85,2.63
Student #40,326,15.82,"previous, advisor-advisee",Excellent,0.25,2.17,Okay,-0.42,2.25
Student #59,126,15.51,advisor-advisee,Excellent,0.26,2.65,Excellent,2.25,1.91
Student #70,302,15.5,previous,Good,-0.35,2.22,Excellent,2.85,2.37
Student #4,324,15.32,previous,Good,-0.26,2.44,Excellent,2.59,1.66
Student #56,217,14.96,previous,Good,-0.27,2.44,Excellent,2.23,1.85
Student #38,333,13.8,favorite,Excellent,0.26,2.41,Excellent,3.34,2.59
Student #39,521,13.45,,Excellent,0.11,2.25,Excellent,3.34,2.76
Student #66,561,13.38,"previous, favorite",Excellent,0.26,2.08,Okay,-0.07,4.01
Student #35,109,13.37,"advisor-advisee, favorite",Excellent,0.35,1.82,Okay,-0.17,5.17
Student #68,226,13.23,"advisor-advisee, favorite",Excellent,0.37,2.34,Okay,-0.33,1.79
Student #2,226,13.2,"advisor-advisee, favorite",Excellent,0.34,2.16,Okay,-0.33,1.79
Student #3,318,13.18,"previous, favorite",Excellent,0.26,2.18,Okay,-0.27,2.24
Student #54,451,13.18,advisor-advisee,Excellent,0.26,2.19,Okay,-0.07,4.26
Student #24,461,13.17,"advisor-advisee, favorite",Excellent,0.34,2.15,Okay,-0.37,1.70
Student #72,333,13.16,"previous, favorite",Excellent,0.26,2.19,Okay,-0.30,2.44
Student #15,521,13.14,,Good,-0.19,1.98,Excellent,3.34,2.69
Student #71,461,13.14,,Excellent,0.35,2.00,Excellent,2.80,1.70
Student #10,432,13.11,"advisor-advisee, favorite",Excellent,0.26,2.03,Okay,-0.35,1.87
Student #6,326,13.1,"advisor-advisee, favorite",Excellent,0.33,2.12,Okay,-0.42,1.72
Student #5,521,13.07,,Good,-0.27,1.83,Excellent,3.34,2.67
Student #42,318,13.07,advisor-advisee,Excellent,0.35,1.78,Okay,-0.27,2.21
Student #12,432,13.05,favorite,Excellent,0.00,2.58,Excellent,2.85,1.86
Student #47,126,13.02,"advisor-advisee, favorite",Excellent,0.27,2.35,Okay,-0.44,1.44
Student #31,226,12.97,"previous, favorite",Excellent,0.11,2.52,Okay,-0.33,1.74
Student #64,429,12.97,previous,Excellent,0.35,2.01,Okay,-0.38,1.38
Student #34,333,12.96,advisor-advisee,Excellent,0.26,2.29,Okay,-0.30,2.40
Student #41,432,12.95,"previous, favorite",Excellent,0.11,2.14,Okay,-0.35,1.84
Student #26,302,12.94,,Good,0.10,1.90,Excellent,2.85,1.86
Student #61,302,12.94,"advisor-advisee, favorite",Excellent,0.10,2.78,Okay,-0.35,1.86
Student #48,324,12.93,,Excellent,0.35,1.97,Excellent,2.59,1.20
Student #23,513,12.92,previous,Excellent,0.00,3.25,Okay,-0.07,4.26
Student #53,432,12.91,previous,Excellent,0.26,2.02,Okay,-0.35,1.83
Student #52,126,12.9,advisor-advisee,Excellent,0.35,1.95,Okay,-0.44,1.42
Student #14,333,12.88,previous,Excellent,0.18,2.26,Okay,-0.30,2.38
Student #19,217,12.88,advisor-advisee,Excellent,0.35,1.94,Okay,-0.46,1.46
Student #1,324,12.85,previous,Excellent,0.26,2.12,Okay,-0.41,1.18
Student #21,461,12.8,previous,Excellent,0.18,2.29,Okay,-0.37,1.63
Student #33,324,12.79,advisor-advisee,Excellent,0.20,2.25,Okay,-0.41,1.17
Student #29,429,12.77,,Excellent,0.11,2.47,Excellent,2.67,1.34
Student #37,324,12.77,,Excellent,0.18,2.11,Excellent,2.59,1.17
Student #36,217,12.73,"previous, favorite",Excellent,0.00,2.51,Okay,-0.46,1.43
Student #0,126,12.63,favorite,Excellent,0.18,2.23,Excellent,2.25,1.37
Student #22,302,12.6,previous,Good,-0.04,1.81,Okay,-0.35,1.79
Student #45,340,12.53,,Good,-0.27,1.87,Excellent,2.80,1.50
Student #43,326,12.5,,Good,-0.30,2.68,Excellent,2.81,1.60
Student #18,432,12.44,previous,Good,-0.20,1.86,Okay,-0.35,1.74
Student #30,429,12.43,,Poor,-0.23,2.00,Excellent,2.67,1.27
Student #51,461,12.42,previous,Good,-0.20,1.77,Okay,-0.37,1.56
Student #28,217,11.96,,Good,-0.26,2.08,Excellent,2.23,1.29
Student #60,326,11.86,favorite,Excellent,0.47,1.78,Good,1.19,1.48
Student #8,340,11.47,,Excellent,0.26,1.84,Good,1.22,1.30
Student #9,217,10.47,,Poor,-0.41,1.66,Good,0.88,1.01
Student #50,226,10.34,favorite,Excellent,0.48,1.66,Okay,-0.33,1.23
Student #13,429,10.17,favorite,Excellent,0.35,1.48,Okay,-0.38,0.83
Student #7,340,10.16,favorite,Excellent,0.34,1.78,Okay,-0.37,1.05
Student #69,340,10.15,,Excellent,0.52,1.46,Okay,-0.37,1.05
Student #63,529,10.13,favorite,Excellent,0.10,2.27,Okay,-0.17,3.03
Student #57,487,10.11,,Excellent,0.35,1.45,Okay,-0.24,2.60
Student #44,526,10.09,,Excellent,0.26,1.77,Okay,-0.16,4.90
Student #58,487,10.07,favorite,Excellent,0.11,1.99,Okay,-0.24,2.59
