Course,Excellent Matches,Good Matches,Okay Matches,Poor Matches,Unqualified Matches
109,Student #71;Student #5,,Student #1;Student #0;Student #9;Student #72;Student #46;Student #26;Student #14;Student #61;Student #3;Student #21;Student #15;Student #19;Student #69;Student #38;Student #65;Student #43;Student #57;Student #27;Student #44;Student #17;Student #37;Student #16;Student #64;Student #23;Student #45;Student #31;Student #56;Student #47;Student #36;Student #58;Student #7;Student #29;Student #10;Student #52;Student #32;Student #53;Student #67;Student #60;Student #2;Student #70;Student #20;Student #41;Student #62;Student #39;Student #59;Student #55;Student #4;Student #66;Student #24;Student #40;Student #8;Student #49;Student #33;Student #42;Student #22;Student #28;Student #54;Student #50;Student #25;Student #51;Student #30;Student #6;Student #34;Student #12;Student #11;Student #18;Student #13;Student #48,302;461;432;340,
126,Student #54;Student #48;Student #10;Student #45;Student #35;Student #47;Student #6;Student #5;Student #51;Student #37;Student #42;Student #4;Student #43;Student #39;Student #52,,Student #5;Student #51;Student #37;Student #42;Student #4;Student #43;Student #39;Student #52;Student #19;Student #36;Student #28;Student #67;Student #3;Student #13;Student #66;Student #38;Student #64;Student #15;Student #0;Student #62;Student #18;Student #59;Student #7;Student #14;Student #55;Student #32;Student #58;Student #23;Student #26;Student #71;Student #61;Student #44;Student #33;Student #2;Student #72;Student #50;Student #8;Student #63;Student #46;Student #11;Student #22;Student #49;Student #16;Student #41;Student #1;Student #60;Student #9;Student #17;Student #68;Student #24;Student #30;Student #34;Student #65;Student #56;Student #21;Student #53;Student #57;Student #40;Student #27;Student #29;Student #31;Student #69;Student #20;Student #25;Student #70;Student #12,,
217,Student #36;Student #2;Student #59;Student #28;Student #10;Student #30;Student #11;Student #13;Student #33;Student #44,,Student #2;Student #59;Student #28;Student #10;Student #30;Student #11;Student #13;Student #33;Student #44;Student #53;Student #69;Student #24;Student #43;Student #58;Student #67;Student #25;Student #65;Student #38;Student #19;Student #12;Student #17;Student #45;Student #32;Student #37;Student #27;Student #52;Student #55;Student #68;Student #16;Student #34;Student #1;Student #49;Student #39;Student #56;Student #48;Student #61;Student #35;Student #3;Student #18;Student #21;Student #9;Student #26;Student #8;Student #40;Student #7;Student #54;Student #23;Student #22;Student #15;Student #5;Student #31;Student #60;Student #51;Student #6;Student #46;Student #64;Student #14;Student #20;Student #41;Student #63;Student #0;Student #4;Student #50;Student #66;Student #47;Student #70;Student #29;Student #62;Student #72;Student #57;Student #42;Student #71,,
226,Student #10;Student #56;Student #20;Student #17;Student #36,Student #31;Student #60,Student #60;Student #68;Student #27;Student #13;Student #52;Student #7;Student #41;Student #70;Student #16;Student #19;Student #53;Student #62;Student #65;Student #43;Student #35;Student #2;Student #61;Student #30;Student #4;Student #45;Student #1;Student #55;Student #71;Student #14;Student #66;Student #69;Student #29;Student #9;Student #38;Student #57;Student #54;Student #72;Student #6;Student #63;Student #28;Student #15;Student #32;Student #58;Student #5;Student #44;Student #26;Student #21;Student #64;Student #46;Student #11;Student #39;Student #67;Student #3;Student #34;Student #51;Student #23;Student #8;Student #48;Student #33;Student #24;Student #12;Student #49;Student #25;Student #22;Student #0;Student #37;Student #47;Student #50;Student #18;Student #42;Student #59;Student #40,,429;302;461;432;340
302,Student #3;Student #28;Student #69;Student #37;Student #1;Student #41,,Student #25;Student #10;Student #36;Student #68;Student #62;Student #21;Student #6;Student #32;Student #43;Student #59;Student #8;Student #4;Student #53;Student #12;Student #33;Student #26;Student #50;Student #13;Student #7;Student #40;Student #52;Student #24;Student #48;Student #0;Student #61;Student #44;Student #27;Student #5;Student #9;Student #49;Student #14;Student #57;Student #30;Student #56;Student #20;Student #65;Student #64;Student #55;Student #72;Student #23;Student #31;Student #39;Student #11;Student #54;Student #16;Student #34;Student #35;Student #70;Student #51;Student #58;Student #67;Student #2;Student #15;Student #66;Student #63;Student #19;Student #45;Student #60;Student #47;Student #38;Student #46;Student #22;Student #17;Student #29;Student #18,,333;526
318,Student #17;Student #55;Student #2;Student #9;Student #65,Student #20;Student #45;Student #35,Student #2;Student #9;Student #65;Student #20;Student #45;Student #35;Student #50;Student #31;Student #70;Student #40;Student #58;Student #7;Student #54;Student #41;Student #8;Student #3;Student #6;Student #23;Student #69;Student #61;Student #21;Student #18;Student #5;Student #68;Student #0;Student #42;Student #14;Student #67;Student #56;Student #30;Student #10;Student #12;Student #64;Student #13;Student #63;Student #16;Student #11;Student #47;Student #29;Student #33;Student #39;Student #72;Student #32;Student #52;Student #19;Student #37;Student #46;Student #48;Student #59;Student #25;Student #44;Student #15;Student #28;Student #22;Student #24;Student #26;Student #57;Student #51;Student #1;Student #71;Student #34;Student #43;Student #62;Student #27;Student #4;Student #38;Student #53;Student #36;Student #66;Student #60;Student #49,,
324,Student #49;Student #9;Student #69;Student #66;Student #52;Student #40;Student #33;Student #53,Student #17;Student #16;Student #47;Student #32;Student #38,Student #17;Student #16;Student #47;Student #32;Student #38;Student #36;Student #5;Student #27;Student #60;Student #57;Student #30;Student #15;Student #21;Student #35;Student #6;Student #71;Student #23;Student #70;Student #54;Student #65;Student #25;Student #55;Student #22;Student #18;Student #34;Student #20;Student #68;Student #8;Student #43;Student #1;Student #51;Student #13;Student #14;Student #67;Student #56;Student #29;Student #72;Student #45;Student #24;Student #50;Student #11;Student #2;Student #7;Student #42;Student #63;Student #28;Student #41;Student #31;Student #61;Student #4;Student #64;Student #46;Student #37;Student #19;Student #0;Student #3;Student #48;Student #10;Student #44;Student #62;Student #26;Student #39;Student #12;Student #58;Student #59,,324;429;302;461;432;340;333;526
326,Student #31;Student #9;Student #6;Student #65;Student #34;Student #17;Student #67;Student #62;Student #54,,Student #17;Student #67;Student #62;Student #54;Student #53;Student #57;Student #38;Student #71;Student #42;Student #68;Student #27;Student #48;Student #2;Student #70;Student #22;Student #36;Student #14;Student #46;Student #26;Student #7;Student #66;Student #19;Student #41;Student #15;Student #16;Student #47;Student #72;Student #37;Student #25;Student #33;Student #43;Student #32;Student #45;Student #55;Student #56;Student #5;Student #13;Student #49;Student #23;Student #64;Student #63;Student #18;Student #69;Student #29;Student #3;Student #44;Student #40;Student #51;Student #52;Student #21;Student #24;Student #10;Student #50;Student #39;Student #12;Student #4;Student #20;Student #59;Student #0;Student #1;Student #60;Student #11;Student #35;Student #8;Student #58;Student #30;Student #61;Student #28,,
333,Student #27;Student #30;Student #57;Student #54;Student #61;Student #42;Student #34;Student #12,,Student #64;Student #50;Student #36;Student #67;Student #66;Student #55;Student #21;Student #47;Student #35;Student #2;Student #26;Student #31;Student #49;Student #46;Student #11;Student #68;Student #5;Student #62;Student #24;Student #13;Student #14;Student #51;Student #25;Student #39;Student #72;Student #7;Student #52;Student #10;Student #19;Student #20;Student #70;Student #58;Student #37;Student #8;Student #38;Student #69;Student #59;Student #16;Student #6;Student #71;Student #17;Student #4;Student #41;Student #53;Student #33;Student #22;Student #28;Student #0;Student #43;Student #48;Student #44;Student #1;Student #15;Student #3;Student #65;Student #32;Student #60;Student #45;Student #18;Student #56;Student #9;Student #29;Student #40;Student #63;Student #23,333;526,
340,Student #69;Student #44;Student #50;Student #49;Student #36;Student #30;Student #66;Student #31;Student #0;Student #61,,Student #36;Student #30;Student #66;Student #31;Student #0;Student #61;Student #23;Student #56;Student #37;Student #9;Student #17;Student #70;Student #38;Student #26;Student #33;Student #32;Student #55;Student #25;Student #8;Student #10;Student #63;Student #51;Student #57;Student #12;Student #7;Student #13;Student #21;Student #67;Student #11;Student #42;Student #45;Student #72;Student #2;Student #41;Student #16;Student #3;Student #5;Student #40;Student #14;Student #35;Student #29;Student #47;Student #52;Student #71;Student #60;Student #19;Student #62;Student #24;Student #65;Student #28;Student #68;Student #22;Student #27;Student #15;Student #58;Student #6;Student #54;Student #1;Student #39;Student #20;Student #18;Student #48;Student #43;Student #53;Student #64;Student #34;Student #59;Student #4;Student #46,,324;429;302;461
